0	Index      	 *	Score 	Summary	Detail	
1	33112 14321	 * 	181.65	DCR|2DMG|1AART|1VULN|1CDMG|2DUR|1ASPD	1MGNLIT|2VULN|38DUR|4AART|5ASPD|6RCR|7CDMG|9aDMG
653	21524 11231	   	151.73	DCR|1AART|1VULN|1DMG|1CDMG|1DUR	1MLV|28LIT|3VULN|4AART|5DUR|6RCR|7DMG|9CDMG|aDLOT
654	21524 11234	   	151.73	DCR|1AART|1VULN|1DMG|1CDMG|1DUR	1MLV|28LIT|3VULN|4AART|5DUR|6RCR|7DMG|9CDMG|aDUST
655	21524 11423	   	151.73	DCR|1AART|1VULN|1DMG|2ASPD|1DUR	1MLV|2LIT|3VULN|4AART|5DUR|6RCR|7DMG|8LHND|9aASPD
656	21524 11632	   	151.73	DCR|1AART|1VULN|1DMG|1CDMG|1DUR	1MLV|2LIT|3VULN|4AART|5DUR|6RCR|7DMG|8CDMG|9CGEN|aDUST
657	33112 13122	   	151.73	DCR|1AART|1VULN|1DMG|2ASPD|1DUR	1MGNLIT|2VULN|3DUR|4AART|5aASPD|6RCR|7RCVC|8LIT|9DMG
658	42324 11423	   	151.73	DCR|1AART|1DMG|1VULN|2ASPD|1DUR	1LIT|2VULN|3CGEN|4AART|5DUR|6RCR|7DMG|8LHND|9aASPD
659	42324 11631	   	151.73	DCR|1AART|1VULN|1DMG|1CDMG|1DUR	1LIT|2VULN|39CGEN|4AART|5DUR|6RCR|7DMG|8CDMG|aDLOT
660	33663 31112	   	151.72	DCR|3VULN|1AART|1ZMB	1MGNLIT|248VULN|3LIT|5LSRICY|6AART|7RCR|9ZMB|aERES
661	21522 34116	   	151.72	DCR|4VULN|1AART	17aMLV|267LIT|357aVULN|4AART|7aBPWR|8aCGEN|9RCR
662	33212 13264	   	151.66	DCR|2AART|1VULN|1DMG|1DUR|1ASPD	1MGNLIT|2VULN|3LWND|4DUR|5DMG|6ASPD|7RCR|8aAART|9BASHEA
